Part,%C,%Si,%Mn,%P,%S,%Cu,%Cr,%Ni,%Mo,%Sn,%Mg,%Ti,%Al,%B,%V,%Sb,%Nb,%Ce,%CE,%Reject
0,3.56,2.58,0.259,0.02,0.009,0.164,0.032,0.01,0.006,0.006,0.037,0.019,0.006,0,0.002,0,0,0,4.351,19.11
0,3.57,2.63,0.261,0.021,0.009,0.172,0.033,0.01,0.006,0.006,0.04,0.019,0.007,0.001,0.003,0.001,0,0,4.373,19.11
0,3.59,2.54,0.26,0.021,0.008,0.169,0.033,0.01,0.006,0.006,0.035,0.02,0.007,0.001,0.002,0.001,0,0,4.368,19.11
0,3.63,2.6,0.263,0.022,0.009,0.169,0.033,0.01,0.006,0.006,0.044,0.02,0.007,0.001,0.003,0.002,0,0,4.424,19.11
0,3.65,2.56,0.261,0.022,0.01,0.169,0.033,0.01,0.006,0.006,0.04,0.02,0.007,0.001,0.003,0.002,0,0,4.433,19.11
0,3.62,2.67,0.309,0.019,0.007,0.163,0.032,0.009,0.007,0.006,0.031,0.022,0.007,0.001,0.003,0,0,0,4.431,19.11
0,3.5,2.52,0.305,0.022,0.008,0.176,0.033,0.011,0.006,0.007,0.033,0.022,0.006,0.001,0.003,0.001,0,0,4.271,19.11
0,3.65,2.61,0.307,0.023,0.009,0.17,0.032,0.01,0.006,0.006,0.035,0.022,0.008,0.001,0.003,0,0,0,4.45,19.11
0,3.56,2.54,0.306,0.022,0.009,0.174,0.032,0.011,0.006,0.006,0.037,0.022,0.007,0.001,0.003,0,0,0,4.335,19.11
0,3.58,2.5,0.308,0.024,0.008,0.179,0.033,0.011,0.007,0.007,0.037,0.022,0.007,0.001,0.003,0.002,0,0,4.348,19.11
0,3.57,2.54,0.311,0.023,0.008,0.186,0.033,0.011,0.006,0.007,0.036,0.022,0.007,0.001,0.003,0.001,0,0,4.347,19.11
1,3.56,2.55,0.321,0.024,0.009,0.181,0.033,0.011,0.007,0.008,0.041,0.021,0.007,0.001,0.003,0.001,0,0,4.339,19.11
1,3.59,2.57,0.321,0.024,0.008,0.181,0.033,0.011,0.007,0.008,0.041,0.021,0.007,0.001,0.003,0.002,0,0,4.373,19.11
1,3.54,2.59,0.323,0.023,0.009,0.18,0.033,0.011,0.007,0.008,0.04,0.021,0.007,0.001,0.003,0.001,0,0,4.329,19.11
1,3.5,2.61,0.32,0.019,0.007,0.174,0.032,0.01,0.007,0.007,0.031,0.021,0.007,0.001,0.002,0,0,0,4.295,19.11
1,3.57,2.59,0.319,0.023,0.007,0.182,0.033,0.011,0.007,0.008,0.04,0.021,0.007,0.001,0.003,0.001,0,0,4.363,19.11
1,3.59,2.61,0.319,0.023,0.008,0.187,0.033,0.011,0.007,0.008,0.043,0.021,0.007,0.001,0.003,0.002,0,0,4.39,19.11
0,3.51,2.49,0.299,0.021,0.008,0.177,0.033,0.01,0.007,0.007,0.035,0.023,0.006,0.001,0.003,0.001,0,0,4.268,19.11
0,3.55,2.49,0.298,0.022,0.008,0.178,0.032,0.01,0.007,0.007,0.034,0.023,0.007,0.001,0.003,0.001,0,0,4.313,19.11
0,3.57,2.49,0.299,0.022,0.008,0.178,0.032,0.01,0.007,0.007,0.037,0.023,0.006,0.001,0.003,0.001,0,0,4.327,19.11
